vipper_131 (04/23/07  8:43:12 PM): hello 
vipper_131 (07/18/08 11:22:21 PM): cool
15 year old girl(07/18/08 11:22:30 PM): what about u?
vipper_131 (07/18/08 11:22:33 PM): let me ges u live next to the bowling ali
vipper_131 (07/18/08 11:22:54 PM): in blue apartments
15 year old girl(07/18/08 11:23:03 PM): are u stalking me now?
15 year old girl(07/18/08 11:23:08 PM): haha
15 year old girl(07/18/08 11:23:16 PM): nope. no blue apartments
vipper_131 (07/18/08 11:23:23 PM): hmm
vipper_131 (07/18/08 11:23:25 PM):  
15 year old girl(07/18/08 11:23:57 PM): whyd u guess that?
vipper_131 (07/18/08 11:24:18 PM): lol
vipper_131 (07/18/08 11:24:20 PM): no reason
vipper_131 (07/18/08 11:24:22 PM): anyways
vipper_131 (07/18/08 11:24:24 PM): ill let u go
15 year old girl(07/18/08 11:24:32 PM): :( but i like talking to u
vipper_131 (07/18/08 11:24:38 PM): hmm
15 year old girl(07/18/08 11:24:45 PM): hmm what
vipper_131 (07/18/08 11:24:57 PM): what u wanba talk abought
vipper_131 (07/18/08 11:25:01 PM): im gana go  
vipper_131 (07/18/08 11:25:05 PM): soon
15 year old girl(07/18/08 11:25:07 PM): u confuse me
vipper_131 (07/18/08 11:25:10 PM): i have stuff i have to do
15 year old girl(07/18/08 11:25:18 PM): fine then.  go do ur stuff.
vipper_131 (07/18/08 11:25:26 PM): why u mad
15 year old girl(07/18/08 11:25:43 PM): im not mad.  jus letting u go.  ill find someone else to talk to :)
vipper_131 (07/18/08 11:25:53 PM):  well talk u have 20 min <span class="code_c">(<i>Awww...thanks for being so kind.</i>)
15 year old girl(07/18/08 11:26:02 PM): i have a time limit?
vipper_131 (07/18/08 11:26:13 PM): lol yep
vipper_131 (07/18/08 11:26:14 PM): lol
15 year old girl(07/18/08 11:26:19 PM): pfffftttttttttttt
15 year old girl(07/18/08 11:26:23 PM): that's what i think about that.
vipper_131 (07/18/08 11:26:31 PM): lol well u beter git my atetion
15 year old girl(07/18/08 11:26:41 PM): whats the best way to get ur attention?
vipper_131 (07/18/08 11:26:45 PM): talk
vipper_131 (07/18/08 11:26:46 PM): lol
15 year old girl(07/18/08 11:26:52 PM): I AM!!!!!  :P
vipper_131 (07/18/08 11:26:57 PM): lol dork
15 year old girl(07/18/08 11:27:06 PM): Callin' me names.  I'm telling.
vipper_131 (07/18/08 11:27:12 PM): lol o no
15 year old girl(07/18/08 11:27:18 PM): ya.  be scared.
vipper_131 (07/18/08 11:27:30 PM):  any qwestions for me
15 year old girl(07/18/08 11:27:34 PM): ummm
15 year old girl(07/18/08 11:27:46 PM): im trying to think of a good one
15 year old girl(07/18/08 11:28:04 PM): how tall are u?
vipper_131 (07/18/08 11:28:13 PM):  511
15 year old girl(07/18/08 11:28:15 PM): thats not a good one- its just the only one that came to my mind
15 year old girl(07/18/08 11:28:20 PM): holy cow poo- thats tall
vipper_131 (07/18/08 11:28:25 PM): na
15 year old girl(07/18/08 11:28:39 PM): when ur 5'3\"...5'11\" is like giant sized.
vipper_131 (07/18/08 11:28:49 PM): lol
15 year old girl(07/18/08 11:29:15 PM): whats the worse thing youve ever done?
vipper_131 (07/18/08 11:29:22 PM): lol
vipper_131 (07/18/08 11:29:31 PM):   as in
15 year old girl(07/18/08 11:29:36 PM): anything
vipper_131 (07/18/08 11:29:45 PM):  depends
15 year old girl(07/18/08 11:29:55 PM): on?
vipper_131 (07/18/08 11:30:04 PM):   b more spasific
15 year old girl(07/18/08 11:30:20 PM): ummm... something you really regret?
vipper_131 (07/18/08 11:31:07 PM): lol
15 year old girl(07/18/08 11:31:17 PM): why is that funny??
vipper_131 (07/18/08 11:31:29 PM): hmm ya
vipper_131 (07/18/08 11:31:47 PM):  talking to a  girls adalt like and being underage  <span class="code_c">(<i>Really? That should have been my first clue.
</i>)15 year old girl(07/18/08 11:32:03 PM): like girls my age?
vipper_131 (07/18/08 11:32:07 PM): ya
15 year old girl(07/18/08 11:32:16 PM): news bulletin:  im not a baby.
vipper_131 (07/18/08 11:32:45 PM): lol
15 year old girl(07/18/08 11:33:17 PM): u talk to other girls my age but you dont wanna talk to me?  i dont get it
vipper_131 (07/18/08 11:33:25 PM):  no i dont any more
vipper_131 (07/18/08 11:33:29 PM): thats what i regret
15 year old girl(07/18/08 11:33:45 PM): oh.  were they like mean to u or something?
vipper_131 (07/18/08 11:34:11 PM): no
vipper_131 (07/18/08 11:34:15 PM):  lol they called the cops
15 year old girl(07/18/08 11:34:23 PM): seriously??? did u get in trouble??
vipper_131 (07/18/08 11:34:42 PM): ya
vipper_131 (07/18/08 11:34:43 PM): big <span class="code_c">(<i>Ohh!  So that's how he knew it's bad to talk to minors.</i>)
15 year old girl(07/18/08 11:34:53 PM): what happened??  thats horrible
vipper_131 (07/18/08 11:35:02 PM): ya
vipper_131 (07/18/08 11:35:07 PM):  dont wana go into it
vipper_131 (07/18/08 11:35:08 PM): lol
15 year old girl(07/18/08 11:35:11 PM): oh ok
15 year old girl(07/18/08 11:37:15 PM): im sorry she was mean :(
vipper_131 (07/18/08 11:37:20 PM): its ok
vipper_131 (07/18/08 11:37:28 PM): that y i have a hard time talkin to u <span class="code_c">(<i>Yet he continues.</i>)
15 year old girl(07/18/08 11:37:36 PM): im really nice.
15 year old girl(07/18/08 11:37:38 PM): most of the time.
vipper_131 (07/18/08 11:37:43 PM): lol
15 year old girl(07/18/08 11:38:37 PM): is my time up?
vipper_131 (07/18/08 11:38:43 PM): not yet
15 year old girl(07/18/08 11:38:47 PM): ok good
15 year old girl(07/18/08 11:39:26 PM): do u think they make pink tractors?
vipper_131 (07/18/08 11:39:46 PM): yes
vipper_131 (07/18/08 11:39:48 PM): lol
15 year old girl(07/18/08 11:39:56 PM): ok good.  Sorry.  I think of strange things sometimes
vipper_131 (07/18/08 11:40:07 PM): lol
vipper_131 (07/18/08 11:40:23 PM): i got my grand ma  a pink   22 rifel
15 year old girl(07/18/08 11:40:30 PM): omg thats so cool
15 year old girl(07/18/08 11:40:51 PM): i like everything pink...except peptobismal or however u spell it
vipper_131 (07/18/08 11:41:05 PM): lol
15 year old girl(07/18/08 11:41:34 PM): hey- i see a picture of you
vipper_131 (07/18/08 11:41:45 PM): u do
15 year old girl(07/18/08 11:41:56 PM): well i assume its u
vipper_131 (07/18/08 11:42:17 PM): ya
15 year old girl(07/18/08 11:42:35 PM): its kinda small. wonder if i can make it bigger
15 year old girl(07/18/08 11:43:10 PM): nope. wont let me
15 year old girl(07/18/08 11:43:46 PM): talk...
vipper_131 (07/18/08 11:43:58 PM): about
15 year old girl(07/18/08 11:44:07 PM): umm anything.
vipper_131 (07/18/08 11:44:11 PM): u pic
15 year old girl(07/18/08 11:44:26 PM): i think ive been pickin
vipper_131 (07/18/08 11:44:31 PM):  lol thats ok
15 year old girl(07/18/08 11:45:00 PM): what are u doing when my time is up
vipper_131 (07/18/08 11:45:08 PM):  lol
vipper_131 (07/18/08 11:45:11 PM):  dont no
15 year old girl(07/18/08 11:45:22 PM): so i have a time limit for no reason?
vipper_131 (07/18/08 11:45:26 PM): ya lol
vipper_131 (07/18/08 11:45:39 PM): so so what els u do for fun
15 year old girl(07/18/08 11:46:22 PM): I like to dance.  I love to shop (not like there's a ton of places around here for that).  
vipper_131 (07/18/08 11:46:32 PM): lol
15 year old girl(07/18/08 11:46:54 PM): so...what do YOU do for fun?
vipper_131 (07/18/08 11:46:59 PM):  drive
vipper_131 (07/18/08 11:47:10 PM):  sterio  eqwipment
15 year old girl(07/18/08 11:47:20 PM): do u haev a car?
vipper_131 (07/18/08 11:47:23 PM): yes
vipper_131 (07/18/08 11:47:33 PM):  is a thumpin   and glowin blue
15 year old girl(07/18/08 11:47:41 PM): im jealous. what kind?
vipper_131 (07/18/08 11:47:46 PM): ford
vipper_131 (07/18/08 11:47:53 PM):  exsporer
vipper_131 (07/18/08 11:47:56 PM): 200
vipper_131 (07/18/08 11:47:59 PM): 2000
15 year old girl(07/18/08 11:48:11 PM): i want a car
vipper_131 (07/18/08 11:48:13 PM): lol
15 year old girl(07/18/08 11:48:25 PM): my mom says i can have one when im 30.  she better be joking.
vipper_131 (07/18/08 11:48:35 PM): lol
15 year old girl(07/18/08 11:49:44 PM): u seem busy with other stuff
vipper_131 (07/18/08 11:49:54 PM): just looking at my email
15 year old girl(07/18/08 11:50:10 PM): anythign good?
vipper_131 (07/18/08 11:50:24 PM): nada junk
15 year old girl(07/18/08 11:50:32 PM): im sorry.
vipper_131 (07/18/08 11:51:09 PM): ya
15 year old girl(07/18/08 11:51:41 PM): la la la la la la
vipper_131 (07/18/08 11:51:51 PM): lol
vipper_131 (07/18/08 11:51:55 PM):  so were is ur bf  
15 year old girl(07/18/08 11:52:04 PM): haha thats funny
15 year old girl(07/18/08 11:52:11 PM): u say that like i have a boyfriend
vipper_131 (07/18/08 11:52:16 PM): u sould
vipper_131 (07/18/08 11:52:17 PM): lol
15 year old girl(07/18/08 11:52:35 PM): possibly true.  
vipper_131 (07/18/08 11:52:49 PM): lol so do u
15 year old girl(07/18/08 11:52:55 PM): not that i know of
vipper_131 (07/18/08 11:53:04 PM): lol
15 year old girl(07/18/08 11:53:17 PM): what about ur girlfriend?
vipper_131 (07/18/08 11:53:25 PM): i broke up with her
vipper_131 (07/18/08 11:53:39 PM): she whouldnt   git sexual with me  for over 9 months
vipper_131 (07/18/08 11:53:44 PM):  so i booted her out lol
15 year old girl(07/18/08 11:53:46 PM): thats a long time
15 year old girl(07/18/08 11:53:50 PM): why wouldnt she/
vipper_131 (07/18/08 11:54:08 PM): she wont tell me <span class="code_c">(<i>Could be because you were convicted of being \"adult like\" with a minor?
</i>)15 year old girl(07/18/08 11:54:15 PM): thats weird
vipper_131 (07/18/08 11:54:56 PM): ya
vipper_131 (07/18/08 11:54:59 PM): so ya
15 year old girl(07/18/08 11:55:07 PM): im sorry :(
vipper_131 (07/18/08 11:55:25 PM): its ok
15 year old girl(07/18/08 11:56:17 PM): when did u breakup?
vipper_131 (07/18/08 11:56:23 PM):   last week
vipper_131 (07/18/08 11:56:24 PM): lol
15 year old girl(07/18/08 11:56:40 PM): awww.  u can cry on my shoulder
vipper_131 (07/18/08 11:56:45 PM): lol  
vipper_131 (07/18/08 11:56:52 PM): ha ha ha i dont need to cry lol
15 year old girl(07/18/08 11:58:11 PM): im sure ull find a new girlfriend soon
vipper_131 (07/18/08 11:58:23 PM): dcont think so
vipper_131 (07/18/08 11:58:24 PM): lol
vipper_131 (07/18/08 11:58:49 PM): add me i ges
vipper_131 (07/18/08 11:58:58 PM): im gana go git in the sower
vipper_131 (07/18/08 11:59:02 PM):  shower
15 year old girl(07/18/08 11:59:19 PM): ok
15 year old girl(07/19/08 12:00:14 AM): yay
15 year old girl(07/19/08 12:00:24 AM): your life is now complete
vipper_131 (07/19/08 12:00:58 AM): bye
15 year old girl(07/19/08 12:01:03 AM): bye

<u>July 19, 2008</u>
vipper_131 (07/19/08  1:38:29 PM): u on

<u>August 1, 2008</u>
vipper_131 (08/01/08  9:06:27 PM): whats  up hun
15 year old girl(08/01/08  9:06:57 PM): hey :)
vipper_131 (08/01/08  9:07:07 PM): anythin u wana ask me yet
15 year old girl(08/01/08  9:07:30 PM): lol
15 year old girl(08/01/08  9:07:43 PM): do u say that to all the girls? :P
vipper_131 (08/01/08  9:08:04 PM): ya lol
vipper_131 (08/01/08  9:09:52 PM): SO DO U
15 year old girl(08/01/08  9:10:06 PM): i'm thinking
vipper_131 (08/01/08  9:10:17 PM): i mean anythin at all
vipper_131 (08/01/08  9:11:28 PM): hury im gana leave soon to go find food
15 year old girl(08/01/08  9:12:07 PM): what'd u do today?
vipper_131 (08/01/08  9:12:18 PM): work
vipper_131 (08/01/08  9:12:18 PM): lo
15 year old girl(08/01/08  9:12:30 PM): cool.  what kind of work?
vipper_131 (08/01/08  9:12:35 PM): drivin truck
15 year old girl(08/01/08  9:12:44 PM): cool.  like big trucks?
vipper_131 (08/01/08  9:12:49 PM): ya
15 year old girl(08/01/08  9:13:10 PM): that sounds scary
vipper_131 (08/01/08  9:13:15 PM): na
vipper_131 (08/01/08  9:13:18 PM): but im gana go
15 year old girl(08/01/08  9:13:24 PM): ok

<u>August 2, 2008</u>
15 year old girl(08/02/08 10:22:24 PM): Just saying hi even tho ur not online
vipper_131 (08/02/08 10:22:29 PM): i am
15 year old girl(08/02/08 10:22:36 PM): oh ok
vipper_131 (08/02/08 10:22:41 PM): hats up
15 year old girl(08/02/08 10:22:59 PM): nothin' really.
vipper_131 (08/02/08 10:23:04 PM): hmm
vipper_131 (08/02/08 10:23:29 PM): y not
vipper_131 (08/02/08 10:23:35 PM): think of any qwestions <span class="code_c">(<i>What's with the question obsession?</i>)
15 year old girl(08/02/08 10:23:41 PM): u and ur questions
15 year old girl(08/02/08 10:23:45 PM): u should ask me a question
vipper_131 (08/02/08 10:23:48 PM): lol
vipper_131 (08/02/08 10:23:54 PM): have u seen my pic
15 year old girl(08/02/08 10:24:15 PM): ummm
15 year old girl(08/02/08 10:25:54 PM): nope- havent seen that picture
vipper_131 (08/02/08 10:26:16 PM): u like
15 year old girl(08/02/08 10:26:28 PM): i like
vipper_131 (08/02/08 10:26:33 PM): lol
vipper_131 (08/02/08 10:26:35 PM):  how much
15 year old girl(08/02/08 10:26:45 PM): alot of much :P
vipper_131 (08/02/08 10:26:48 PM): lol
vipper_131 (08/02/08 10:26:59 PM): so any pics of u  for me
vipper_131 (08/02/08 10:27:07 PM):  like  realy sexy ones <span class="code_c">(<i>...because talking to minors is bad?</i>)
15 year old girl(08/02/08 10:27:13 PM): haha i doubt it
vipper_131 (08/02/08 10:27:22 PM): hmm y not
15 year old girl(08/02/08 10:27:31 PM): did u see my myspace?
vipper_131 (08/02/08 10:27:34 PM): no
15 year old girl(08/02/08 10:27:52 PM): im on the right
vipper_131 (08/02/08 10:28:03 PM): hmm
vipper_131 (08/02/08 10:28:10 PM): so do u give head  <span class="code_c">(<i>Way to be straight forward.</i>)
15 year old girl(08/02/08 10:28:23 PM): like to everyone?
vipper_131 (08/02/08 10:28:33 PM): to me
15 year old girl(08/02/08 10:28:46 PM): u want me to ?
vipper_131 (08/02/08 10:28:52 PM): y not
15 year old girl(08/02/08 10:28:56 PM): lol
vipper_131 (08/02/08 10:29:05 PM): jk
15 year old girl(08/02/08 10:29:30 PM): 8-|
vipper_131 (08/02/08 10:29:38 PM): lol what
15 year old girl(08/02/08 10:29:46 PM): nothin
vipper_131 (08/02/08 10:29:55 PM): tell tell
15 year old girl(08/02/08 10:30:23 PM): nope.  never know if ur just kidding
15 year old girl(08/02/08 10:30:24 PM): :P
vipper_131 (08/02/08 10:30:31 PM): lol
vipper_131 (08/02/08 10:32:01 PM): so u wana
15 year old girl(08/02/08 10:32:12 PM): wanna what?  joke around with you?
vipper_131 (08/02/08 10:32:58 PM): lol no
vipper_131 (08/02/08 10:32:58 PM): lol
vipper_131 (08/02/08 10:33:07 PM): have u ever gave a guy a bj
15 year old girl(08/02/08 10:33:29 PM): one time, yeah
vipper_131 (08/02/08 10:33:36 PM): did u like it
15 year old girl(08/02/08 10:33:41 PM): yeah it was cool
vipper_131 (08/02/08 10:34:15 PM): did he cum
15 year old girl(08/02/08 10:34:37 PM): no
vipper_131 (08/02/08 10:34:39 PM): lol
vipper_131 (08/02/08 10:34:44 PM): how old was he
15 year old girl(08/02/08 10:34:51 PM): 15
vipper_131 (08/02/08 10:34:54 PM): lol
vipper_131 (08/02/08 10:35:02 PM): who  wanted to do it
vipper_131 (08/02/08 10:35:04 PM):  first
vipper_131 (08/02/08 10:35:08 PM): did u ask him
15 year old girl(08/02/08 10:35:11 PM): he wanted me to
vipper_131 (08/02/08 10:35:20 PM): hmm
15 year old girl(08/02/08 10:35:29 PM): ?
vipper_131 (08/02/08 10:35:31 PM): do u have a cell
15 year old girl(08/02/08 10:35:46 PM): nope :(  
vipper_131 (08/02/08 10:35:48 PM): hmm
vipper_131 (08/02/08 10:35:54 PM): u have a house phone
15 year old girl(08/02/08 10:36:08 PM): i can call u with like a calling card or something.  i dont wanna get in trouble
vipper_131 (08/02/08 10:36:17 PM): no thanks
15 year old girl(08/02/08 10:36:27 PM): ok
15 year old girl(08/02/08 10:37:33 PM): did i do somethign wrong?
